ph,N,P,K,Moisture (%),Recommendations,Crop
7.224285503,85,52,45,30,"['Reduce N', 'Reduce P']",rice
6.13428721,91,35,38,30,['Reduce N'],rice
5.206373153,76,49,42,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
7.782051312999999,74,39,38,30,"['Reduce ph', 'Reduce N']",rice
7.062779015,79,43,39,30,"['Reduce N', 'Reduce P']",rice
7.730367824,88,55,45,30,"['Reduce ph', 'Reduce N', 'Reduce P']",rice
5.286203711000001,60,36,43,30,"['Increase ph', 'Reduce N']",rice
6.766240045,76,60,39,30,"['Reduce N', 'Reduce P']",rice
7.382762603,93,56,42,30,"['Reduce N', 'Reduce P']",rice
5.658169482000001,65,60,43,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.543360237999999,95,52,36,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.215109715,75,38,39,30,['Reduce N'],rice
7.120272972,74,54,38,30,"['Reduce N', 'Reduce P']",rice
5.950647577000001,91,36,45,30,"['Increase ph', 'Reduce N']",rice
7.236705436,71,46,40,30,"['Reduce N', 'Reduce P']",rice
6.501697816,99,55,35,30,"['Reduce N', 'Reduce P']",rice
7.592490617,72,40,38,30,"['Reduce ph', 'Reduce N']",rice
5.875345751,83,58,45,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.932400225,93,58,38,30,"['Reduce N', 'Reduce P']",rice
6.9462098810000015,70,36,42,30,['Reduce N'],rice
5.739175027000001,76,47,42,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.738652179,99,41,36,30,"['Reduce N', 'Reduce P']",rice
5.5948196260000005,99,54,37,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.946636369,86,59,35,30,"['Reduce N', 'Reduce P']",rice
5.012139669,69,46,41,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.363472207999999,91,56,37,30,"['Reduce N', 'Reduce P']",rice
6.880431223,61,52,41,30,"['Reduce N', 'Reduce P']",rice
7.300410836,67,45,38,30,"['Reduce N', 'Reduce P']",rice
6.587918707999999,79,42,37,30,"['Reduce N', 'Reduce P']",rice
7.283736617000001,78,43,42,30,"['Reduce N', 'Reduce P']",rice
7.023936392,75,54,36,30,"['Reduce N', 'Reduce P']",rice
6.939083505,97,36,45,30,['Reduce N'],rice
7.868474653,67,47,44,30,"['Reduce ph', 'Reduce N', 'Reduce P']",rice
5.005306977,73,35,38,30,"['Increase ph', 'Reduce N']",rice
6.136131869,77,36,37,30,['Reduce N'],rice
7.5240800760000015,81,41,38,30,"['Reduce ph', 'Reduce N', 'Reduce P']",rice
5.706943251,68,57,43,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.758506323,72,45,35,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.349606327,61,53,43,30,"['Reduce N', 'Reduce P']",rice
5.9999690260000005,67,43,39,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.453592032,67,58,39,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.372576327000001,66,60,38,30,"['Reduce N', 'Reduce P']",rice
5.105588355,82,43,38,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.9353444060000005,84,50,44,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
5.17782304,81,53,42,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
6.462391607000001,91,50,40,30,"['Reduce N', 'Reduce P']",rice
7.069172227,93,53,38,30,"['Reduce N', 'Reduce P']",rice
7.473134377,90,44,38,30,"['Reduce N', 'Reduce P']",rice
6.158376967000001,81,45,35,30,"['Reduce N', 'Reduce P']",rice
7.549873681,78,40,38,30,"['Reduce ph', 'Reduce N']",rice
6.028321557999999,60,51,36,30,"['Reduce N', 'Reduce P']",rice
6.604993475,88,46,42,30,"['Reduce N', 'Reduce P']",rice
6.500343222000001,93,47,37,30,"['Reduce N', 'Reduce P']",rice
5.935745417000001,60,55,45,30,"['Increase ph', 'Reduce N', 'Reduce P']",rice
7.072655622,78,35,44,30,['Reduce N'],rice
5.333322606,65,37,40,30,"['Increase ph', 'Reduce N']",rice
5.7499144210000015,71,54,16,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.931756557999999,61,44,17,30,"['Reduce N', 'Reduce P']",maize
6.657964753,80,43,16,30,"['Reduce N', 'Reduce P']",maize
6.596060648,73,58,21,30,"['Reduce N', 'Reduce P']",maize
5.970458434,61,38,20,30,"['Increase ph', 'Reduce N']",maize
6.158830619,68,41,16,30,"['Reduce N', 'Reduce P']",maize
6.047906679,93,41,17,30,"['Reduce N', 'Reduce P']",maize
5.913664501,89,60,19,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.855442401,76,44,17,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.750254943,67,60,25,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.852607099,70,44,19,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.4725232870000005,90,49,21,30,"['Reduce N', 'Reduce P']",maize
6.9670577620000005,62,52,16,30,"['Reduce N', 'Reduce P']",maize
6.082973754,92,44,16,30,"['Reduce N', 'Reduce P']",maize
5.919045532,66,54,21,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.204747652999999,63,58,22,30,"['Reduce N', 'Reduce P']",maize
6.600827017,70,47,17,30,"['Reduce N', 'Reduce P']",maize
6.021902237000001,61,41,17,30,"['Reduce N', 'Reduce P']",maize
6.033550195,66,53,19,30,"['Reduce N', 'Reduce P']",maize
6.28886807,74,55,19,30,"['Reduce N', 'Reduce P']",maize
6.550563822999999,77,57,21,30,"['Reduce N', 'Reduce P']",maize
5.573286437,99,50,15,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.829199275,74,56,22,30,"['Reduce N', 'Reduce P']",maize
5.716222912,83,45,21,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.54990242,100,48,16,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.586244581,79,51,16,30,"['Reduce N', 'Reduce P']",maize
5.893093135,94,39,18,30,"['Increase ph', 'Reduce N']",maize
5.918263801,75,49,15,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.588650585,78,48,22,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.576418207000001,87,54,20,30,"['Reduce N', 'Reduce P']",maize
6.178056304,87,35,25,30,['Reduce N'],maize
6.641906353,63,43,19,30,"['Reduce N', 'Reduce P']",maize
6.489040367,84,57,25,30,"['Reduce N', 'Reduce P']",maize
5.680361037999999,64,35,23,30,"['Increase ph', 'Reduce N']",maize
6.625404347999999,60,46,22,30,"['Reduce N', 'Reduce P']",maize
6.524478032,98,44,21,30,"['Reduce N', 'Reduce P']",maize
5.696205468,75,56,18,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.803931519,86,55,21,30,"['Reduce N', 'Reduce P']",maize
6.252797547999999,98,35,18,30,['Reduce N'],maize
6.092725883,76,57,18,30,"['Reduce N', 'Reduce P']",maize
6.234330356,99,56,17,30,"['Reduce N', 'Reduce P']",maize
5.722579819,60,44,23,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.430616465,74,48,17,30,"['Reduce N', 'Reduce P']",maize
5.983952675,89,60,17,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.80163854,69,51,23,30,"['Reduce N', 'Reduce P']",maize
6.499936446,96,46,22,30,"['Reduce N', 'Reduce P']",maize
6.265564338,61,60,15,30,"['Reduce N', 'Reduce P']",maize
6.727303282,74,58,18,30,"['Reduce N', 'Reduce P']",maize
6.325235159,74,43,23,30,"['Reduce N', 'Reduce P']",maize
6.807487794,63,43,17,30,"['Reduce N', 'Reduce P']",maize
6.671085817000001,99,36,20,30,['Reduce N'],maize
6.648725327,77,36,23,30,['Reduce N'],maize
6.439071996,87,60,23,30,"['Reduce N', 'Reduce P']",maize
6.474476516,60,38,17,30,['Reduce N'],maize
5.871647806,94,54,17,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.730617109,95,38,22,30,"['Increase ph', 'Reduce N']",maize
5.850439831,84,44,21,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.791649933,77,58,19,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.740000687999999,66,44,20,30,"['Reduce N', 'Reduce P']",maize
6.272417541,63,35,16,30,['Reduce N'],maize
5.715208817000001,79,45,20,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.773454729,72,60,25,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.584171461,67,51,24,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.787268394,86,36,24,30,"['Increase ph', 'Reduce N']",maize
5.77597783,76,48,18,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.864793607,75,53,18,30,"['Reduce N', 'Reduce P']",maize
6.192360002999999,81,45,23,30,"['Reduce N', 'Reduce P']",maize
6.636803222999999,73,45,21,30,"['Reduce N', 'Reduce P']",maize
5.826426917,71,35,24,30,"['Increase ph', 'Reduce N']",maize
6.960358276,96,54,22,30,"['Reduce N', 'Reduce P']",maize
6.11275104,99,39,18,30,['Reduce N'],maize
6.708446922,62,48,20,30,"['Reduce N', 'Reduce P']",maize
5.561510732,86,37,16,30,"['Increase ph', 'Reduce N']",maize
5.873242491,94,50,19,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.995843776,76,39,24,30,['Reduce N'],maize
5.714799723,77,52,17,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.78073637,74,39,23,30,['Reduce N'],maize
5.513697923,81,49,20,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
5.798423907999999,63,42,21,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.352471866,99,38,21,30,['Reduce N'],maize
6.822586546,90,52,25,30,"['Reduce N', 'Reduce P']",maize
6.655426355,68,40,19,30,['Reduce N'],maize
6.1212940410000005,60,57,24,30,"['Reduce N', 'Reduce P']",maize
5.790770202999999,71,52,18,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.47444292,61,59,17,30,"['Reduce N', 'Reduce P']",maize
6.455116637000001,88,38,15,30,['Reduce N'],maize
6.6069840860000015,65,60,22,30,"['Reduce N', 'Reduce P']",maize
6.330554389,78,37,22,30,['Reduce N'],maize
6.5286312660000005,78,58,15,30,"['Reduce N', 'Reduce P']",maize
5.721667141,92,60,23,30,"['Increase ph', 'Reduce N', 'Reduce P']",maize
6.644205485,79,59,17,30,"['Reduce N', 'Reduce P']",maize
6.376651091,91,55,15,30,"['Reduce N', 'Reduce P']",maize
6.247040422,76,51,18,30,"['Reduce N', 'Reduce P']",maize
6.656730007999999,87,48,25,30,"['Reduce N', 'Reduce P']",maize
6.2048017,71,60,22,30,"['Reduce N', 'Reduce P']",maize
6.158860284,90,57,24,30,"['Reduce N', 'Reduce P']",maize
6.385684213999999,67,35,22,30,['Reduce N'],maize
6.417820493,60,54,19,30,"['Reduce N', 'Reduce P']",maize
6.381201909,83,58,23,30,"['Reduce N', 'Reduce P']",maize
6.877869005,83,57,19,30,"['Reduce N', 'Reduce P']",maize
7.485996067,40,72,77,30,"['Reduce P', 'Reduce K']",chickpea
6.920251378,23,72,84,30,"['Reduce P', 'Reduce K']",chickpea
5.9969320370000005,39,58,85,30,"['Increase ph', 'Reduce P', 'Reduce K']",chickpea
6.391173589,22,72,85,30,"['Reduce P', 'Reduce K']",chickpea
7.152811172000001,36,67,77,30,"['Reduce P', 'Reduce K']",chickpea
5.988992796000002,32,73,81,30,"['Increase ph', 'Reduce P', 'Reduce K']",chickpea
6.231049027999999,58,70,84,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.550808267000001,59,70,84,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.010570541,42,62,75,30,"['Reduce P', 'Reduce K']",chickpea
8.753795334,28,74,81,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.718192847000001,58,66,79,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.976607593,43,66,79,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.515499548999999,58,63,81,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
8.490127142,23,62,85,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.576415562,27,62,77,30,"['Reduce P', 'Reduce K']",chickpea
6.481783042999999,28,72,84,30,"['Reduce P', 'Reduce K']",chickpea
7.966605025,50,56,76,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.140825437,39,71,84,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.228963452,25,78,76,30,"['Reduce P', 'Reduce K']",chickpea
6.492546046,31,70,77,30,"['Reduce P', 'Reduce K']",chickpea
7.528599957000001,26,80,83,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.701446446,25,68,77,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.519975748,31,78,76,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.620900869,60,68,83,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
8.104396057999999,59,62,83,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.204090835,22,67,78,30,"['Reduce P', 'Reduce K']",chickpea
6.051091339,36,65,80,30,"['Reduce P', 'Reduce K']",chickpea
7.690962337999999,59,60,84,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.8292111439999985,54,77,85,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.761599706,43,68,81,30,"['Reduce P', 'Reduce K']",chickpea
6.654425315,28,76,82,30,"['Reduce P', 'Reduce K']",chickpea
6.129533877,42,79,85,30,"['Reduce P', 'Reduce K']",chickpea
8.829273328,32,60,83,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.621662982,22,78,76,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.204862075,31,79,75,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.18042747,28,58,81,30,"['Reduce P', 'Reduce K']",chickpea
7.978996755,57,58,77,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.863113671,49,55,78,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.967843048,46,76,77,30,"['Reduce P', 'Reduce K']",chickpea
6.206582192999999,54,61,77,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
8.868741443,38,60,76,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.766128654,59,55,79,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
8.736337905,36,76,75,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.081095263,57,68,81,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.138243973,35,66,81,30,"['Reduce P', 'Reduce K']",chickpea
7.496645259,35,64,78,30,"['Reduce P', 'Reduce K']",chickpea
8.380185271,52,60,79,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.289614016,27,76,83,30,"['Reduce P', 'Reduce K']",chickpea
6.586777189,57,60,84,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.89655198,52,68,78,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.8067476560000015,43,79,79,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.150681303,44,74,85,30,"['Reduce P', 'Reduce K']",chickpea
6.64919573,24,55,78,30,"['Reduce P', 'Reduce K']",chickpea
7.778591617999999,29,77,75,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.358740355,20,60,78,30,"['Reduce P', 'Reduce K']",chickpea
8.255450758,56,67,78,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.456148474,37,66,85,30,"['Reduce P', 'Reduce K']",chickpea
6.613072145,49,71,76,30,"['Reduce P', 'Reduce K']",chickpea
8.165359297,59,69,80,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.64867466,20,79,77,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.545888558,24,56,85,30,"['Reduce P', 'Reduce K']",chickpea
7.1042247970000005,51,72,75,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.358099622,57,73,85,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.4740245000000005,22,64,82,30,"['Reduce P', 'Reduce K']",chickpea
7.840339388999999,52,73,79,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.064790365,29,75,75,30,"['Reduce P', 'Reduce K']",chickpea
7.599033472,44,59,78,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.715587232000001,41,69,82,30,"['Reduce P', 'Reduce K']",chickpea
6.81712422,52,56,85,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.985417393,34,76,80,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.545258424,42,74,83,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.728998197,34,71,79,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.354973451,27,73,79,30,"['Reduce P', 'Reduce K']",chickpea
7.313122235,30,70,79,30,"['Reduce P', 'Reduce K']",chickpea
7.785039076,57,57,75,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.307004922999999,27,79,82,30,"['Reduce P', 'Reduce K']",chickpea
6.4039823160000005,32,71,85,30,"['Reduce P', 'Reduce K']",chickpea
7.599279991,31,76,82,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.217018459,33,75,84,30,"['Reduce P', 'Reduce K']",chickpea
7.561108006,47,80,77,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.489545074,54,62,80,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.609696734,47,79,78,30,"['Reduce P', 'Reduce K']",chickpea
7.476800943,35,57,83,30,"['Reduce P', 'Reduce K']",chickpea
7.325451279,53,73,77,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
6.489389282,45,61,78,30,"['Reduce P', 'Reduce K']",chickpea
7.786366322,37,78,79,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.4084378860000015,30,75,81,30,"['Reduce P', 'Reduce K']",chickpea
8.423873703,37,55,82,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
8.719960893,53,65,76,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.811997977000001,22,60,85,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
6.317153205,60,61,78,30,"['Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.114405288,42,67,77,30,"['Reduce P', 'Reduce K']",chickpea
8.135900726000001,39,76,76,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.714153037999999,35,63,76,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.103798069,30,65,82,30,"['Reduce P', 'Reduce K']",chickpea
8.861479668,57,56,78,30,"['Reduce ph', 'Reduce N', 'Reduce P', 'Reduce K']",chickpea
7.861128148,48,65,78,30,"['Reduce ph', 'Reduce P', 'Reduce K']",chickpea
7.4526709,36,56,83,30,"['Reduce P', 'Reduce K']",chickpea
7.168096055,40,58,75,30,"['Reduce P', 'Reduce K']",chickpea
7.26311855,49,69,82,30,"['Reduce P', 'Reduce K']",chickpea
5.68597166,13,60,25,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.759237003,25,70,16,30,"['Increase ph', 'Reduce P']",kidneybeans
5.873171894,31,55,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.926676985,40,64,16,30,"['Increase ph', 'Reduce P']",kidneybeans
5.95561668,2,61,20,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.9499490810000015,26,65,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.789214288999999,17,57,21,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.581021521,26,80,18,30,"['Increase ph', 'Reduce P']",kidneybeans
5.689858133,17,59,17,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.794158503999999,27,59,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.748190462999999,28,58,24,30,"['Increase ph', 'Reduce P']",kidneybeans
5.566522896,25,57,19,30,"['Increase ph', 'Reduce P']",kidneybeans
5.809419584,28,80,17,30,"['Increase ph', 'Reduce P']",kidneybeans
5.887263027,25,60,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.99812453,12,78,23,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.792744849,6,77,25,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.912289889,22,79,17,30,"['Increase ph', 'Reduce P']",kidneybeans
5.7883869510000014,27,80,15,30,"['Increase ph', 'Reduce P']",kidneybeans
5.728233081,10,55,23,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.833940084,23,65,20,30,"['Increase ph', 'Reduce P']",kidneybeans
5.967533236,19,78,16,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.6250964460000015,19,65,25,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.515615023,22,70,19,30,"['Increase ph', 'Reduce P']",kidneybeans
5.954665349,37,64,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.74644777,11,71,17,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.877347515,18,79,20,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.979973965,21,63,17,30,"['Increase ph', 'Reduce P']",kidneybeans
5.635993966,24,80,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.635231778,34,60,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.679224346,16,75,21,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.670062975,17,77,23,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.724242065,37,72,18,30,"['Increase ph', 'Reduce P']",kidneybeans
5.811314232000001,40,73,20,30,"['Increase ph', 'Reduce P']",kidneybeans
5.783425416,9,77,17,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.607808432000001,1,62,23,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.946999529,33,59,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.852046999,23,59,19,30,"['Increase ph', 'Reduce P']",kidneybeans
5.824090984,6,62,22,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.502999119,25,63,20,30,"['Increase ph', 'Reduce P']",kidneybeans
5.821649914,7,79,23,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.711439256,8,72,17,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.514927264,27,64,15,30,"['Increase ph', 'Reduce P']",kidneybeans
5.99616119,28,66,23,30,"['Increase ph', 'Reduce P']",kidneybeans
5.695422862999999,32,57,18,30,"['Increase ph', 'Reduce P']",kidneybeans
5.833010957999999,27,56,22,30,"['Increase ph', 'Reduce P']",kidneybeans
5.568456899,17,77,24,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.645435626,0,65,15,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.821194486,13,72,21,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.659254981,34,60,23,30,"['Increase ph', 'Reduce P']",kidneybeans
5.945465949,9,80,19,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.9511774520000005,11,72,20,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.520880013999999,3,67,24,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.578410206,35,69,23,30,"['Increase ph', 'Reduce P']",kidneybeans
5.608165195,3,77,25,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.609435127999999,23,62,19,30,"['Increase ph', 'Reduce P']",kidneybeans
5.509295379,22,71,17,30,"['Increase ph', 'Reduce P']",kidneybeans
5.902033406,31,79,25,30,"['Increase ph', 'Reduce P']",kidneybeans
5.744117663,34,59,18,30,"['Increase ph', 'Reduce P']",kidneybeans
5.717143397,12,63,17,30,"['Increase ph', 'Increase N', 'Reduce P']",kidneybeans
5.542690119,27,56,20,30,"['Increase ph', 'Reduce P']",kidneybeans
